Date,Service,Ligne,Nom_de_la_ligne,Taux_de_ponctualité,Nombre_de_voyageurs_à_l'heure_pour_un_voyageur_en_retard
8/1/2013,RER,B,RER B,83.60,8.90
8/1/2013,RER,C,RER C,83.60,14.20
8/1/2013,RER,D,RER D,83.60,9.40
8/1/2013,RER,E,RER E,83.60,20.70
8/1/2013,Transilien,H,Paris Nord Ouest,83.60,20.70
8/1/2013,Transilien,J,Paris Saint-Lazare Nord,83.60,8.30
8/1/2013,Transilien,K,Paris Nord Crépy,83.60,7.50
8/1/2013,Transilien,L,Paris Saint-Lazare Sud,83.60,8.90
8/1/2013,Transilien,N,Paris Montparnasse,83.60,24.00
8/1/2013,Transilien,P,Paris Est,83.60,11.70
8/1/2013,Transilien,R,Paris Sud Est,83.60,11.50
8/1/2013,Transilien,U,La Verrière - La Défense,83.60,20.30
9/1/2013,RER,A,RER A,83.60,5.00
9/1/2013,RER,B,RER B,83.60,6.50
9/1/2013,RER,C,RER C,83.60,13.50
9/1/2013,RER,D,RER D,83.60,4.90
9/1/2013,RER,E,RER E,83.60,30.30
9/1/2013,Transilien,H,Paris Nord Ouest,83.60,20.70
9/1/2013,Transilien,J,Paris Saint-Lazare Nord,83.60,7.90
9/1/2013,Transilien,K,Paris Nord Crépy,83.60,6.10
9/1/2013,Transilien,L,Paris Saint-Lazare Sud,83.60,5.60
9/1/2013,Transilien,N,Paris Montparnasse,83.60,12.70
9/1/2013,Transilien,P,Paris Est,83.60,7.30
9/1/2013,Transilien,R,Paris Sud Est,83.60,8.60
9/1/2013,Transilien,U,La Verrière - La Défense,83.60,13.10
10/1/2013,RER,A,RER A,83.60,4.90
10/1/2013,RER,B,RER B,83.60,4.20
10/1/2013,RER,C,RER C,83.60,5.90
10/1/2013,RER,D,RER D,83.60,3.90
10/1/2013,RER,E,RER E,83.60,19.80
10/1/2013,Transilien,H,Paris Nord Ouest,83.60,16.20
10/1/2013,Transilien,J,Paris Saint-Lazare Nord,83.60,5.00
10/1/2013,Transilien,K,Paris Nord Crépy,83.60,4.30
10/1/2013,Transilien,L,Paris Saint-Lazare Sud,83.60,4.60
10/1/2013,Transilien,N,Paris Montparnasse,83.60,12.50
10/1/2013,Transilien,P,Paris Est,83.60,6.90
10/1/2013,Transilien,R,Paris Sud Est,83.60,8.40
10/1/2013,Transilien,U,La Verrière - La Défense,83.60,10.90
11/1/2013,RER,A,RER A,83.60,4.20
11/1/2013,RER,B,RER B,83.60,3.50
11/1/2013,RER,C,RER C,83.60,5.90
11/1/2013,RER,D,RER D,83.60,3.30
11/1/2013,RER,E,RER E,83.60,11.50
11/1/2013,Transilien,H,Paris Nord Ouest,83.60,13.50
11/1/2013,Transilien,J,Paris Saint-Lazare Nord,83.60,4.20
11/1/2013,Transilien,K,Paris Nord Crépy,83.60,3.50
11/1/2013,Transilien,L,Paris Saint-Lazare Sud,83.60,3.50
11/1/2013,Transilien,N,Paris Montparnasse,83.60,7.40
11/1/2013,Transilien,P,Paris Est,83.60,4.80
11/1/2013,Transilien,R,Paris Sud Est,83.60,4.70
11/1/2013,Transilien,U,La Verrière - La Défense,83.60,7.60
12/1/2013,RER,A,RER A,83.60,4.30
12/1/2013,RER,B,RER B,83.60,4.70
12/1/2013,RER,C,RER C,83.60,10.00
12/1/2013,RER,D,RER D,83.60,5.90
12/1/2013,RER,E,RER E,83.60,18.60
12/1/2013,Transilien,H,Paris Nord Ouest,83.60,17.90
12/1/2013,Transilien,J,Paris Saint-Lazare Nord,83.60,5.40
12/1/2013,Transilien,K,Paris Nord Crépy,83.60,4.90
12/1/2013,Transilien,L,Paris Saint-Lazare Sud,83.60,4.90
12/1/2013,Transilien,N,Paris Montparnasse,83.60,12.90
12/1/2013,Transilien,P,Paris Est,83.60,10.10
12/1/2013,Transilien,R,Paris Sud Est,83.60,9.20
12/1/2013,Transilien,U,La Verrière - La Défense,83.60,9.60
1/1/2014,RER,A,RER A,83.60,4.30
1/1/2014,RER,B,RER B,83.60,4.30
1/1/2014,RER,C,RER C,83.60,10.60
1/1/2014,RER,D,RER D,83.60,6.10
1/1/2014,RER,E,RER E,83.60,14.60
1/1/2014,Transilien,H,Paris Nord Ouest,83.60,23.40
1/1/2014,Transilien,J,Paris Saint-Lazare Nord,83.60,4.60
1/1/2014,Transilien,K,Paris Nord Crépy,83.60,3.30
1/1/2014,Transilien,L,Paris Saint-Lazare Sud,83.60,4.60
1/1/2014,Transilien,N,Paris Montparnasse,83.60,24.60
1/1/2014,Transilien,P,Paris Est,83.60,10.10
1/1/2014,Transilien,R,Paris Sud Est,83.60,8.70
1/1/2014,Transilien,U,La Verrière - La Défense,83.60,13.70
2/1/2014,RER,A,RER A,83.60,6.00
2/1/2014,RER,B,RER B,83.60,8.00
2/1/2014,RER,C,RER C,83.60,9.90
2/1/2014,RER,D,RER D,83.60,7.50
2/1/2014,RER,E,RER E,83.60,19.00
2/1/2014,Transilien,H,Paris Nord Ouest,83.60,24.60
2/1/2014,Transilien,J,Paris Saint-Lazare Nord,83.60,5.80
2/1/2014,Transilien,K,Paris Nord Crépy,83.60,5.40
2/1/2014,Transilien,L,Paris Saint-Lazare Sud,83.60,4.90
2/1/2014,Transilien,N,Paris Montparnasse,83.60,19.40
2/1/2014,Transilien,P,Paris Est,83.60,9.40
2/1/2014,Transilien,R,Paris Sud Est,83.60,5.80
2/1/2014,Transilien,U,La Verrière - La Défense,83.60,11.80
3/1/2014,RER,A,RER A,83.60,5.00
3/1/2014,RER,B,RER B,83.60,7.30
